smiles,targets
CC(Cl)(Cl)Cl,-0.19
C(Cl)Cl,-1.31
Cn1cccc1,-2.89
c1cc(cc(c1)[N+](=O)[O-])N,-8.84
CCCCCCO[N+](=O)[O-],-1.66
c1ccc2c(c1)cccc2N,-7.28
CC(=O)C,-3.8
C1CCC(=O)C1,-4.7
COC(=O)c1ccccc1,-3.92
c1ccc(cc1)C=O,-4.02
CCOC(=O)c1ccccc1,-3.64
c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.15
c1cc(c(c(c1)Cl)Cl)Cl,-1.24
CC(=O)OC,-3.13
CC(Cl)Cl,-0.84
CC(C)C(=O)C(C)C,-2.74
Cc1ccccc1O,-5.9
c1c(c(=O)[nH]c(=O)[nH]1)Br,-18.17
CCCC=C,1.68
CCCCC(C)C,2.93
CN1CCN(CC1)C,-7.58
c1cc2c(cc1Cl)Oc3ccc(cc3O2)Cl,-3.67
CC(C)C(C)C(C)C,2.56
CN(C)C(=O)c1ccccc1,-9.29
c1ccc(cc1)[N+](=O)[O-],-4.12
COc1ccc(cc1)N,-7.48
c1cc(c(c(c1Cl)Cl)Cl)Cl,-1.34
CC(C)Cc1ccccc1,0.16
Cc1ccccn1,-4.63
c1ccnc(c1)Cl,-4.39
CCCC#C,0.01
CCC#N,-3.84
c1c(=O)[nH]c(=O)[nH]c1Cl,-15.83
CI,-0.89
c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)N,-9.53
CCCCCCCCC,3.13
Cc1cc(ccc1Cl)O,-6.79
CCl,-0.55
CC(OC(=O)C)OC(=O)C,-4.97
C(=C\Cl)\Cl,-1.17
C=C(c1ccccc1)c2ccccc2,-2.78
c1ccc(cc1)F,-0.8
Cc1ccc(cc1)Br,-1.39
[C@@H](C(F)(F)F)(Cl)Br,-0.11
c1cc(ccc1Cl)Cl,-1.01
CC(C)C(C)C,2.34
Cc1cccc(n1)C,-4.59
C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,-23.62
C(CCl)OCCCl,-4.23
CCOC(=O)c1ccc(cc1)O,-9.2
c1ccc(cc1)Cn2ccnc2,-7.63
COC(=O)C1CC1,-4.1
COCCOC,-4.84
C(CO)O,-9.3
c1cc(cc(c1)C(F)(F)F)C(F)(F)F,1.07
CCCc1ccc(cc1)O,-5.21
CCCOCCO,-6.4
C1=C[C@@H]([C@@H]2[C@H]1[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-2.55
CCOCCOCC,-3.54
CCCCCCCC=O,-2.29
C[C@@H](CCl)Cl,-1.27
C[C@@H]1CCCC[C@@H]1C,1.58
CCCCCCCI,0.27
CCCCCC=C,1.66
Cc1ccc(c(c1)C)O,-6.01
CCCCC(=O)O,-6.16
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl,-2.33
CS(=O)(=O)Cl,-4.87
COc1cccc(c1O)OC,-6.96
c1ccc(cc1)N,-5.49
CCc1cccnc1,-4.59
CCCCC#N,-3.52
CC(C)CCOC=O,-2.13
CCCCCC#C,0.6
CCOC(OCC)Oc1ccccc1,-5.23
Cc1cccc(c1C)Nc2ccccc2C(=O)O,-6.78
CC(=O)CO[N+](=O)[O-],-5.99
CCSCC,-1.46
c1ccc2c(c1)C(=O)c3ccc(cc3C2=O)N,-11.53
CC(=C)[C@H]1CCC(=CC1)C=O,-4.09
c1cnccc1C#N,-6.02
CCCSCCC,-1.28
C[C@H]1CCCO1,-3.3
c1ccc(c(c1)[N+](=O)[O-])O,-4.58
COc1ccccc1N,-6.12
CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-],-5.66
CCCCCCCO,-4.21
c1ccc2c(c1)CCC2,-1.46
Cc1ccc2cc(ccc2c1)C,-2.63
C=CC=C,0.56
C[C@H](CC(C)C)O,-3.73
CC(C)C,2.3
CC(C)(/C=N\OC(=O)NC)SC,-9.84
CCc1cnccn1,-5.45
CS,-1.2
CCc1cccc2c1cccc2,-2.4
C(CO[N+](=O)[O-])O[N+](=O)[O-],-5.73
CN(C)CCC=C1c2ccccc2CCc3c1cccc3,-7.43
C(CCCl)CCl,-2.32
CCCCC=C,1.58
c1ccc(cc1)CO,-6.62
CN(C)c1ccccc1,-3.45
CC(=O)C(C)(C)C,-3.11
COC(C(Cl)Cl)(F)F,-1.12
c1ccc2c(c1)Oc3ccc(cc3O2)Cl,-3.1
CCCC(=O)OC,-2.83
CCOP(=S)(OCC)Oc1cc(nc(n1)C(C)C)C,-6.48
CC(C)c1ccccc1,-0.3
CCCCC,2.3
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl,-2.98
CC(C)(C)c1ccc(cc1)O,-5.91
CC(C)CCOC(=O)C,-2.21
Cc1cc2ccccc2cc1C,-2.78
C(=C(F)F)(C(F)(F)F)F,2.93
Cn1ccnc1,-8.41
CC(OC)(OC)OC,-4.42
c1ccc2c(c1)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-3.81
Cc1ccc(cc1)N,-5.57
c1ccc(cc1)S,-2.55
c1ccc(cc1)c2c(cc(cc2Cl)Cl)Cl,-2.16
c1cc(c(c(c1)Cl)c2c(cc(cc2Cl)Cl)Cl)Cl,-1.96
Cc1cccc(c1N)C,-5.21
CN(C)C(=O)c1ccc(cc1)OC,-11.01
C[C@@H]1CC[C@H](C(=O)C1)C(C)C,-2.53
CC(C)C=O,-2.86
N,-4.29
Cc1cc(c2ccccc2c1)C,-2.47
C=CCCC=C,1.01
CNC,-4.29
COc1c(ccc(c1C(=O)O)Cl)Cl,-9.86
Cc1c[nH]cn1,-10.27
Cc1ccccc1[N+](=O)[O-],-3.58
COCC(OC)(OC)OC,-5.73
CCCCCO,-4.57
COS(=O)(=O)OC,-5.1
COCCO,-6.62
CC1CCCC1,1.59
c1ccc2c(c1)cccn2,-5.72
CCCCOCCO,-6.25
CCCCCCc1ccccc1,-0.04
CCCOC(=O)CC,-2.44
CCSSCC,-1.64
Cc1ccc(c(c1)OC)O,-5.8
CCC(C)(C)C,2.51
c1ccc(c(c1)N)[N+](=O)[O-],-7.37
C(=C(Cl)Cl)(Cl)Cl,0.1
CC(C)CCO,-4.42
Cc1cccnc1,-4.77
CCCC[N+](=O)[O-],-3.09
c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O,-9.4
CCCCCCN,-3.95
CCCCC/C=C/C=O,-3.43
c1cc(ccc1N)N(=O)=O,-9.82
C=C,1.28
c1ccc(cc1)Oc2ccccc2,-2.87
COP(=O)(OC)OC,-8.7
Cc1ccc(cc1)C=O,-4.27
C(C(Cl)Cl)(Cl)Cl,-2.37
COc1c(c(c(c(c1Cl)C=O)Cl)OC)O,-8.68
CC(=O)OCC(COC(=O)C)OC(=O)C,-8.84
CCCOC(=O)c1ccc(cc1)O,-9.37
c1cc(cnc1)C=O,-7.1
CC[C@H](C)Cl,0.0
c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,-18.06
CCCCCCCCN,-3.65
CCCCCCI,0.08
c1cc(cc(c1)Cl)N,-5.82
C1CNC1,-5.56
CC(C)CBr,-0.03
C[C@@H](C(F)(F)F)O,-4.16
c1cc(c(c(c1)Cl)c2c(cccc2Cl)Cl)Cl,-2.28
CCc1ccncc1,-4.73
C1CCNCC1,-5.11
CC(=O)c1ccc(cc1)OC,-4.4
COP(=O)([C@H](C(Cl)(Cl)Cl)O)OC,-12.74
CCNc1nc(nc(n1)SC)NC(C)(C)C,-6.68
CC(=O)c1cccnc1,-8.26
c1ccc(c(c1)C(F)(F)F)C(F)(F)F,1.07
C(Cl)(Cl)(Cl)Cl,0.08
c1ccc(cc1)c2cc(ccc2Cl)Cl,-2.46
CN1CCCCC1,-3.88
c1ccc2cc3ccccc3cc2c1,-3.95
CCCC1CCCC1,2.13
CCCc1ccccc1,-0.53
CC(C)COC(=O)C(C)C,-1.69
C1CCNC1,-5.48
C=CCl,-0.59
C/C=C/C=O,-4.22
CCOP(=O)(OCC)O/C(=C/Cl)/c1ccc(cc1Cl)Cl,-7.07
CC1=CCCCC1,0.67
CCCCC(=O)OCC,-2.49
CC1(Cc2cccc(c2O1)OC(=O)NC)C,-9.61
CCC=O,-3.43
C(I)I,-2.49
c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl,-4.4
COc1c(cc(c(c1O)OC)Cl)Cl,-6.44
CN,-4.55
C(CO[N+](=O)[O-])O,-8.18
C1[C@H]([C@@H]2[C@H]([C@H]1Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-3.44
C1COCCO1,-5.06
Cc1ccc(cc1C)O,-6.5
C(F)(F)(F)F,3.12
CC(=O)c1ccncc1,-7.62
c1c(c(cc(c1Cl)Cl)Cl)Cl,-1.34
CCCCCC,2.48
c1ccc(cc1)O[C@@H](C(F)F)F,-1.29
CC(C)OC=O,-2.02
CN(C)C(=O)Nc1ccccc1,-9.13
CCCC[C@@H](C)CC,2.97
CCOC,-2.1
COCCN,-6.55
COC(=O)CCl,-4.0
CC(=CCC[C@](C)(C=C)OC(=O)C)C,-2.49
CCOC(=O)C,-2.94
COC(=O)C1CCCCC1,-3.3
CC(C)OC(=O)C,-2.64
CCc1ccccn1,-4.33
Cc1cc(cc(c1)O)C,-6.27
C1CCC(CC1)O,-5.46
COC,-1.91
c1ccc2c(c1)ccc3c2cccc3,-3.88
c1ccc2c(c1)cccc2O,-7.67
CC(C)(C)Cl,1.09
c1cc(ccc1O)Cl,-7.03
C=CCCl,-0.57
CCCC(C)C,2.51
CCCCCN,-4.09
c1cc(ccc1Br)Br,-2.3
CCCCCCCCl,0.29
CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-3.25
c1cc(cc(c1)O)[N+](=O)[O-],-9.62
CCCCCCCN,-3.79
c1ccc(c(c1)O)F,-5.29
CCCCCC(=O)N,-9.31
CCC(CC)O,-4.35
c1ccc2c(c1)Oc3cccc(c3O2)Cl,-3.52
NN,-9.3
COc1ccccc1,-2.45
Cc1cccc(c1)[N+](=O)[O-],-3.45
CCOP(=S)(OCC)Oc1c(cc(c(n1)Cl)Cl)Cl,-5.04
CC(C)O,-4.74
COC(C(F)(F)F)(OC)OC,-0.8
CC1=CC(=O)CC(C1)(C)C,-5.18
CCCCCCCCCC(=O)C,-2.15
Cn1cnc2c1c(=O)n(c(=O)n2C)C,-12.64
COc1ccc(cc1)C(=O)OC,-5.33
CN(C)C(=O)c1ccc(cc1)[N+](=O)[O-],-11.95
CCOCCOC(=O)C,-5.31
CC(C)COC=O,-2.22
CCC(=O)Nc1ccc(c(c1)Cl)Cl,-7.78
c1ccc(cc1)CCCO,-6.92
CC(=O)c1ccccc1,-4.58
CC#N,-3.88
CCCOCCC,-1.16
COc1cccc(c1)N,-7.29
CCCOC(=O)C,-2.79
C(Br)(Br)Br,-2.13
c1ccc(cc1)Br,-1.46
CCCCCCCC(=O)OC,-2.04
c1ccc(cc1)Cl,-1.12
CC[C@H](C(C)C)O,-3.88
C(=C(Cl)Cl)Cl,-0.44
CC1=CC(=O)[C@@H](CC1)C(C)C,-4.51
c1cc(cc(c1)O)C=O,-9.52
CSSC,-1.83
CCCBr,-0.56
C(F)(F)(F)Br,1.79
c1cnc[nH]1,-9.63
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1
CCC(=O)O,-6.46
C(CBr)Cl,-1.95
CC(C)(C)Br,0.84
CNc1ccccc1,-4.69
CC=C(C)C,1.31
c1c(c(=O)[nH]c(=O)[nH]1)C(F)(F)F,-15.46
c1cc(c(cc1Cl)Cl)Cl,-1.12
CCCC[N@](CC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-3.51
CCCCCCC=O,-2.67
CCCCNCCCC,-3.24
CC[C@H](C)O[N+](=O)[O-],-1.82
CC(C)(C)c1ccccc1,-0.44
CCCCOC(=O)c1ccc(cc1)O,-8.72
CCCCOC[C@H](C)O,-5.73
CCC(=O)OCC,-2.68
CCC[C@H](CC)O,-4.06
CC[C@@H](C)CO,-4.42
c1cc(ccc1C=O)O,-8.83
C1CCCC1,1.2
CN(C)C=O,-7.81
CC(=O)N,-9.71
c1ccc2c(c1)C(=O)c3cccc(c3C2=O)N,-9.44
c1cc(cc(c1)Cl)O,-6.62
C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,-4.82
C=CCO,-5.03
CCc1cccc(c1N(COC)C(=O)CCl)CC,-8.21
CCc1ccccc1,-0.79
CC(=CCC/C(=C/CO)/C)C,-4.45
C(C(F)(F)F)Cl,0.06
CCNc1nc(nc(n1)Cl)NCC,-10.22
CCCC(=O)O,-6.35
c1c(c(c(c(c1Cl)Cl)Cl)Cl)c2c(cc(c(c2Cl)Cl)Cl)Cl,-4.61
CCCC#N,-3.64
CC#C,-0.48
c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl,-4.38
C(F)(F)Cl,-0.5
CC[N+](=O)[O-],-3.71
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,-3.2
CC(C)CC(=O)C,-3.05
CCNCC,-4.07
CCC(=O)N,-9.4
CC(C)CC(C)C,2.83
CCN(CC)CC,-3.22
CCCC/C=C/C,1.68
CCCCC=O,-3.03
CCCCCOC(=O)C,-2.51
CCCCCCC#C,0.71
CCCCCI,-0.14
c1cc(ccc1O)F,-6.19
CN1CCOCC1,-6.32
CCCC=O,-3.18
CS(=O)C,-9.28
CC(C)COC(=O)C,-2.36
CCCCCCC,2.67
CC[C@@H](C)C(C)C,2.52
[C@@H](C(F)(F)F)(F)Br,0.5
Cc1cccc(c1)O,-5.49
CC(C)NC(C)C,-3.22
CCCN(CCC)C(=O)SCCC,-4.13
c1cc(ccc1N)Cl,-5.9
CC(C)C(=O)C,-3.24
Cc1cccnc1C,-4.82
CCCOC=O,-2.48
c1cc(cnc1)C#N,-6.75
CC(=C)C=C,0.68
CCCCI,-0.25
C[C@H]1CC[C@@H](O1)C,-2.92
c1ccc(c(c1)O)I,-6.2
COC(CC#N)(OC)OC,-6.4
c1cnccc1C=O,-7.0
CCCCc1ccccc1,-0.4
c1ccc(cc1)C(F)(F)F,-0.25
c1cc(c(cc1Cl)c2cc(c(c(c2)Cl)Cl)Cl)Cl,-3.61
c1ccc2c(c1)Oc3c(cc(c(c3O2)Cl)Cl)Cl,-4.05
Cc1ccnc(c1)C,-4.86
C1CCOC1,-3.47
Cc1ccccc1C=O,-3.93
C1CC=CC1,0.56
C1CCC(C1)O,-5.49
CCOC(=O)C[C@H](C(=O)OCC)SP(=S)(OC)OC,-8.15
Cc1cnccn1,-5.51
CBr,-0.82
CC(=C)C(=C)C,0.4
CNC(=O)Oc1cccc2c1cccc2,-9.45
CCCCCCCCBr,0.52
COC(=O)C(F)(F)F,-1.1
CCCCO[N+](=O)[O-],-2.09
CF,-0.22
C,2.0
CSC,-1.61
CC1CCCCC1,1.7
CC/C=C\C,1.31
COC(=O)CC#N,-6.72
CCC#C,-0.16
CC1CCC(CC1)C,2.11
CCCN,-4.39
CCCCCCC=C,1.92
COS(=O)(=O)C,-4.87
CN(C)C,-3.2
C=CCC=C,0.93
C(Br)Br,-1.96
c1cc(c(cc1O)Cl)Cl,-7.29
CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-],-6.74
CCCCCCBr,0.18
CCCCCCC(=O)C,-2.88
Cc1cccc2c1cccc2,-2.44
CC(C)Br,-0.48
CCOP(=S)(OCC)SCSCC,-4.37
Cc1ccccc1C,-0.9
Cc1ccc(nc1)C,-4.72
c1ccc(cc1)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.48
C1CNCCN1,-7.4
C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,-25.47
c1c(c(=O)[nH]c(=O)[nH]1)Cl,-17.74
c1ccc-2c(c1)Cc3c2cccc3,-3.35
C1[C@@H]2[C@H](COS(=O)O1)[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl,-4.23
CCCCCCCCC(=O)C,-2.34
C(CCl)CCl,-1.89
CCOCCO,-6.69
CC1=CC[C@H](C[C@@H]1O)C(=C)C,-4.44
CC(C)[N+](=O)[O-],-3.13
CCC[N+](=O)[O-],-3.34
Cc1cccs1,-1.38
c1ccc(cc1)c2ccccc2Cl,-2.69
C1C=CC=CC=C1,-0.99
CCCCN,-4.24
c1cc(c(c(c1)Cl)C#N)Cl,-4.71
C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-],-4.29
CC(C)(C)OC,-2.21
c12c(c(c(c(c1Cl)Cl)Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.53
CCC(C)(C)O,-4.43
CCC[C@H](C)CC,2.71
CC(=CCC/C(=C\CO)/C)C,-4.78
C(=C/Cl)\Cl,-0.78
CCc1ccc(cc1)C,-0.95
CCBr,-0.74
CC(C)SC(C)C,-1.21
C[C@H](C(F)(F)F)O,-4.2
